Name,Location,Total,Arson,Assault,Burglary,Disturbing the Peace,Drugs/Alcohol Violations,DUI,Fraud,Homicide,Motor Vehicle Theft,Robbery,Sex Crimes,Theft/Larceny,Vandalism,Vehicle Break-In/Theft,Weapons
970 Fedora,"970 Fedora St, Los Angeles, CA 90006",57,0,7,21,0,0,0,0,1,10,7,0,6,0,5,0
ABY - The Abbey,"3550 W 6th St, Los Angeles, CA 90005",66,0,17,9,0,0,0,0,1,11,7,0,8,0,13,0
APEX. The One.,"900 S Figueroa St, Los Angeles, CA 90015",250,1,36,7,0,0,0,0,1,45,20,0,80,0,60,0
ARW - Arwyn Manor,"3835 W 8th St, LOS ANGELES, CA 90005",52,0,11,4,0,0,0,0,0,13,4,0,9,0,11,0
AVA Little Tokyo,"236 S Los Angeles St, Los Angeles, CA 90012",165,1,55,7,0,0,0,0,0,18,19,2,32,0,31,0
Alina,"700 W 9th St, Los Angeles, CA 90015",251,1,37,6,0,0,0,0,1,45,20,0,81,0,60,0
Ambassador Towers,"691 Irolo St, Los Angeles, CA 90005",77,0,19,9,0,0,0,0,1,12,8,0,11,0,17,0
Ancelle,"701 S Gramercy Dr, Los Angeles, CA 90005",47,0,13,3,0,0,0,0,0,10,4,0,8,0,9,0
Antares,"1419 S New Hampshire Ave, Los Angeles, CA 90006",51,0,9,14,0,0,0,0,0,7,8,0,5,0,8,0
Apartment for Rent,"1003 W 21st St, Los Angeles, CA 90007",34,0,7,3,0,0,0,0,0,8,4,0,8,0,4,0
Apartment for Rent,"1027 Wilshire Blvd, Los Angeles, CA 90017",152,0,26,7,0,0,0,0,1,17,16,1,56,0,28,0
Apartment for Rent,"1030 S Norton Ave, Los Angeles, CA 90019",45,3,5,10,0,0,0,0,0,8,7,0,8,0,4,0
Apartment for Rent,"1050 Wilshire Blvd, Los Angeles, CA 90017",180,1,32,9,0,0,0,0,1,25,15,1,65,0,31,0
Apartment for Rent,"1073 W Exposition Blvd, Los Angeles, CA 90007",50,0,6,6,0,0,0,0,0,12,2,0,15,0,9,0
Apartment for Rent,"1100 Exposition Blvd, Los Angeles, CA 90007",43,0,5,6,0,0,0,0,0,12,2,0,10,0,8,0
Apartment for Rent,"1100 Wilshire Blvd, Los Angeles, CA 90017",171,1,28,9,0,0,0,0,1,22,17,1,63,0,29,0
Apartment for Rent,"1107 3rd Ave, Los Angeles, CA 90019",47,4,5,11,0,0,0,0,0,9,7,0,8,0,3,0
Apartment for Rent,"1120 W 6th St, Los Angeles, CA 90017",112,1,28,8,0,0,0,0,1,16,14,1,26,0,17,0
Apartment for Rent,"1124 W 49th St, Los Angeles, CA 90037",42,1,11,3,0,0,0,0,1,9,7,0,3,0,7,0
Apartment for Rent,"1129 4th Ave, Los Angeles, CA 90019",45,4,5,10,0,0,0,0,0,8,7,0,8,0,3,0
Apartment for Rent,"1133 S Hope St, Los Angeles, CA 90015",229,1,30,3,0,0,0,0,0,54,13,1,70,0,57,0
Apartment for Rent,"1133 S Westmoreland Ave, Los Angeles, CA 90006",66,0,13,16,0,0,0,0,0,12,10,0,5,0,10,0
Apartment for Rent,"1142 4th Ave, Los Angeles, CA 90019",45,4,5,10,0,0,0,0,0,8,7,0,8,0,3,0
