Name,Location,Distance(meter)
Apartment for Rent,"1164 W 37th Pl, Los Angeles, CA 90007",1377.3869924924736
Apartment for Rent,"1171 W 37th Plz, Los Angeles, CA 90007",795.2881239477948
Apartment for Rent,"1183 Rolland Curtis Pl, Los Angeles, CA 90037",1294.42980414104
Apartment for Rent,"1184 W 30th St, Los Angeles, CA 90007",622.2411414046912
Apartment for Rent,"1201 S Hope St, Los Angeles, CA 90015",2787.275650573348
Apartment for Rent,"1219 W 25th St, Los Angeles, CA 90007",1264.9755656242123
Apartment for Rent,"1222 Elden Ave, Los Angeles, CA 90006",2925.978227045517
Apartment for Rent,"1226 S Westmoreland Ave, Los Angeles, CA 90006",2933.138135293824
Apartment for Rent,"1233 W 39th Pl, Los Angeles, CA 90037",1524.5602708013778
Apartment for Rent,"1234 Wilshire Blvd, Los Angeles, CA 90017",3872.275076451697
Apartment for Rent,"1251 W 36th Pl, Los Angeles, CA 90007",1026.7042218075146
Apartment for Rent,"1256 W 37th St, Los Angeles, CA 90007",1043.0174933805597
Apartment for Rent,"1283 3rd Ave, Los Angeles, CA 90019",4274.008986787894
Apartment for Rent,"1296 W 37th Pl, Los Angeles, CA 90007",1176.7253883102453
Apartment for Rent,"1310 S Wilton Pl, Los Angeles, CA 90019",3840.137291622169
Apartment for Rent,"1314 W 22nd St, Los Angeles, CA 90007",1548.144957023534
Apartment for Rent,"1314 W 35th Pl, Los Angeles, CA 90007",1184.0453620048631
Apartment for Rent,"1323 W 12th Pl, Los Angeles, CA 90015",2644.5298459678543
Apartment for Rent,"1324 Toberman St, Los Angeles, CA 90015",2481.318493202454
Apartment for Rent,"1325 Hoover S St, Los Angeles, CA 90006",2739.367326750435
Apartment for Rent,"1339 W 36th Pl, Los Angeles, CA 90007",1241.5939969367262
Apartment for Rent,"1341 S Union Ave, Los Angeles, CA 90015",2503.148385137545
Apartment for Rent,"1343 E 33rd St, Los Angeles, CA 90011",3280.686283078182
Apartment for Rent,"1366 W 24th St, Los Angeles, CA 90007",1415.247968775633
Apartment for Rent,"1416 W Olympic Blvd, Los Angeles, CA 90015",3097.9232363426186
