Name,Location,Price(in $),Latitude,Longitude,Distance(meter),Total,Arson,Assault,Burglary,Homicide,Motor Vehicle Theft,Robbery,Sex Crimes,Theft/Larceny,Vehicle Break-In/Theft
Apartment for Rent,"4011 W 21st St, Los Angeles, CA 90018",2400.0,34.0375592,-118.3282179,4316.170203528672,26,0,5,3,0,9,0,0,1,8
Apartment for Rent,"4012 S Normandie Ave, Los Angeles, CA 90037",2500.0,34.0105675,-118.3000742,1906.790244897912,32,1,9,2,0,9,1,1,5,4
Apartment for Rent,"4058 9th Ave, Los Angeles, CA 90008",2666.0,34.010222,-118.3272395,4113.167979351624,13,0,5,2,0,1,2,0,0,3
Apartment for Rent,"4077 8th Ave, Los Angeles, CA 90008",2700.0,34.0098684,-118.3262867,4043.7377366471655,13,0,5,2,0,1,2,0,0,3
Apartment for Rent,"417 S Hill St, Los Angeles, CA 90013",3180.0,34.0497926,-118.2509534,4379.248404408311,197,0,45,9,0,23,24,1,53,42
Apartment for Rent,"4171 Dalton Ave, Los Angeles, CA 90062",1945.0,34.0078788,-118.3035384,2344.203219518567,40,1,12,0,0,9,3,1,5,9
Apartment for Rent,"4172 S Hobart Blvd, Los Angeles, CA 90062",2350.0,34.007855,-118.3076932,2636.6750089766256,42,1,11,0,0,11,4,1,6,8
Apartment for Rent,"420 San Pedro St, Los Angeles, CA 90013",3450.0,34.0451303,-118.2431733,4616.773461921191,208,1,68,13,1,22,22,2,39,40
Apartment for Rent,"4234 8th Ave, Los Angeles, CA 90008",1965.0,34.0062939,-118.3258908,4164.419580743007,11,0,3,1,0,1,2,0,2,2
Apartment for Rent,"424 W Pico Blvd, Los Angeles, CA 90015",3250.0,34.0392488,-118.2654307,2606.789194693208,163,2,21,6,0,47,9,1,28,49
Apartment for Rent,"426 E 30th St, Los Angeles, CA 90011",2000.0,34.0200782,-118.2670766,1681.0110456472123,38,0,7,2,0,9,5,0,4,11
Apartment for Rent,"4301 8th Ave, Los Angeles, CA 90008",2400.0,34.0051608,-118.3258903,4220.118510667943,13,0,4,1,0,1,2,0,3,2
Apartment for Rent,"4308 S Normandie Ave, Los Angeles, CA 90037",3950.0,34.0052628,-118.3000791,2353.148427444006,31,1,9,1,1,7,2,0,2,8
Apartment for Rent,"433 Lake S St, Los Angeles, CA 90057",1725.0,34.061594,-118.274751,4461.270497687678,76,0,27,9,0,9,11,0,13,7
Apartment for Rent,"4335 Walton Ave, Los Angeles, CA 90037",3400.0,34.00483,-118.2949073,2152.679473645631,38,0,10,3,1,7,3,0,5,9
Apartment for Rent,"4412 8th Ave, Los Angeles, CA 90043",3300.0,34.0033817,-118.325642,4293.681537671304,13,0,3,1,0,2,3,0,2,2
Apartment for Rent,"444 S Occidental Blvd, Los Angeles, CA 90057",1725.0,34.0661419,-118.283082,4867.429880695282,64,1,18,6,0,9,5,1,11,13
Apartment for Rent,"449 E 49th St, Los Angeles, CA 90011",2665.0,33.9988788,-118.2684534,3032.2945356559794,39,0,9,2,0,14,3,1,2,8
Apartment for Rent,"460 S Spring St, Los Angeles, CA 90013",2225.0,34.0474227,-118.2489472,4340.477179892094,217,1,67,9,0,28,26,2,48,36
Apartment for Rent,"4617 7th Ave, Los Angeles, CA 90043",2800.0,34.001598,-118.3247625,4326.074389647536,12,0,4,1,0,3,1,0,2,1
Apartment for Rent,"4626 Wall St, Los Angeles, CA 90011",2495.0,34.0017192,-118.2716772,2611.2888073040813,71,0,12,2,0,14,4,1,33,5
Apartment for Rent,"4726 4th Ave, Los Angeles, CA 90043",1500.0,34.0006984,-118.3212996,4117.763443035553,24,0,5,3,0,9,2,0,1,4
Apartment for Rent,"496 E 41st St, Los Angeles, CA 90011",3295.0,34.0090968,-118.2672826,2210.1941830912547,58,0,8,1,0,9,4,0,35,1
Apartment for Rent,"553 S Coronado St, Los Angeles, CA 90057",2300.0,34.0627445,-118.2799989,4510.657824145206,70,0,25,4,1,6,10,1,11,12
Apartment for Rent,"5730 S Van Ness Ave, Los Angeles, CA 90062",1750.0,33.9901506,-118.3170286,4639.0832589179045,59,0,25,4,0,14,9,1,5,1
Apartment for Rent,"5902 S Wilton Pl, Los Angeles, CA 90047",2700.0,33.9871622,-118.3147403,4776.806490825077,61,0,31,5,0,10,8,1,4,2
Apartment for Rent,"600 W 9th St, Los Angeles, CA 90015",4000.0,34.0450964,-118.2607358,3377.829029667753,264,1,36,6,0,47,21,0,92,61
Apartment for Rent,"6049 S Normandie Ave, Los Angeles, CA 90044",3200.0,33.984587,-118.3001455,4427.447699439604,35,0,7,9,0,6,4,0,2,7
Apartment for Rent,"609 S Grand Ave, Los Angeles, CA 90017",3360.0,34.0486576,-118.255643,3986.529325926972,255,0,48,7,0,37,24,1,91,47
Apartment for Rent,"612 Flower St, Los Angeles, CA 90017",3266.6666666666665,34.0495546,-118.2575106,3947.164747688402,230,0,39,9,0,36,20,2,80,44
Apartment for Rent,"618 W 54th St, Los Angeles, CA 90037",2295.0,33.9931941,-118.2844587,3248.085855175244,48,0,17,2,0,17,6,0,4,2
Apartment for Rent,"621 S Broadway, Los Angeles, CA 90014",2995.0,34.0463479,-118.2524365,4018.731510665547,257,1,67,10,0,35,24,1,69,50
Apartment for Rent,"625 S Berendo St, Los Angeles, CA 90005",3700.0,34.062689,-118.2942312,4558.249675344639,76,0,21,12,2,9,11,0,10,11
Apartment for Rent,"630 S Kenmore Ave, Los Angeles, CA 90005",1899.0,34.0628179,-118.2967337,4620.326435457036,69,0,18,10,2,10,9,0,10,10
Apartment for Rent,"639 S Spring St, Los Angeles, CA 90014",3800.0,34.045063,-118.2519176,3962.3178333904207,280,1,76,12,0,39,26,2,72,52
Apartment for Rent,"685 S New Hampshire Ave, Los Angeles, CA 90005",3410.0,34.060144,-118.292989,4259.4234932731615,81,0,22,11,2,11,11,1,11,12
Apartment for Rent,"687 Shatto Pl, Los Angeles, CA 90005",1525.0,34.0601148,-118.2903966,4221.99535349598,76,0,22,12,2,12,10,1,9,8
Apartment for Rent,"700 W 9th St, Los Angeles, CA 90015",3470.0,34.0458346,-118.2619823,3365.7356073462583,255,1,38,5,1,45,20,0,85,60
Apartment for Rent,"702 W 42nd St, Los Angeles, CA 90037",2415.0,34.0069589,-118.2857066,1717.8820307554513,44,0,11,2,0,4,6,0,13,8
Apartment for Rent,"709 W 48th St, Los Angeles, CA 90037",3465.0,33.9997253,-118.2861933,2523.3246508379284,37,0,13,2,0,10,6,0,4,2
Apartment for Rent,"722 S Manhattan Plz, Los Angeles, CA 90005",1850.0,34.059305,-118.310074,4704.7913465791735,54,0,13,3,0,13,5,0,8,12
Apartment for Rent,"727 S Coronado St, Los Angeles, CA 90057",1595.0,34.0584218,-118.2825225,4012.476027523114,83,0,28,6,2,12,12,1,11,11
Apartment for Rent,"734 Catalina S St, Los Angeles, CA 90005",2025.0,34.0590149,-118.2952949,4178.352562830702,71,0,19,12,2,12,9,0,6,11
Apartment for Rent,"737 S Kingsley Dr, Los Angeles, CA 90005",2714.0,34.0589323,-118.3031744,4390.333983002833,63,0,16,4,0,12,4,0,11,16
Apartment for Rent,"744 Beacon Ave, Los Angeles, CA 90017",1475.0,34.0536674,-118.2726903,3659.986786314693,105,1,37,10,1,12,17,0,16,11
Apartment for Rent,"746 S Los Angeles St, Los Angeles, CA 90014",2532.5,34.0422685,-118.2515526,3799.67669377531,241,2,71,11,0,34,26,2,57,38
Apartment for Rent,"748 Hartford Ave, Los Angeles, CA 90017",2875.0,34.0509332,-118.2679667,3543.835046904666,142,1,27,10,1,23,16,1,48,15
Apartment for Rent,"801 S Grand Ave, Los Angeles, CA 90017",4200.0,34.0457316,-118.2583612,3577.9307310680115,268,1,43,8,0,44,22,1,94,55
Apartment for Rent,"807 S Flower St, Los Angeles, CA 90017",700.0,34.047169,-118.2603072,3578.3882938358383,241,0,38,9,1,39,20,1,84,49
Apartment for Rent,"807 W 30th St, Los Angeles, CA 90007",1495.0,34.0265519,-118.2811774,586.3629127427369,70,0,6,6,0,16,1,0,36,5
Apartment for Rent,"810 S Spring St, Los Angeles, CA 90014",3610.0,34.0428604,-118.2534902,3696.022276014569,263,2,65,9,0,42,26,2,63,54
Apartment for Rent,"815 S Harvard Blvd, Los Angeles, CA 90005",3500.0,34.0573343,-118.3042591,4266.84013920233,65,0,14,5,0,14,4,0,11,17
Apartment for Rent,"815 S Lake St, Los Angeles, CA 90057",1395.0,34.054964,-118.2793011,3660.163309484155,100,0,33,7,1,19,11,0,15,14
Apartment for Rent,"821 W 43rd Pl, Los Angeles, CA 90037",2300.0,34.0046899,-118.2878067,1985.012808597037,45,0,12,3,0,5,6,0,11,8
Apartment for Rent,"825 S Hill St, Los Angeles, CA 90014",10400.0,34.0442502,-118.256901,3557.4289715694736,306,1,52,9,0,50,26,1,100,67
Apartment for Rent,"832 S Oxford Ave, Los Angeles, CA 90005",1875.0,34.057031,-118.307719,4378.6167098808455,66,0,13,8,0,15,5,0,12,13
Apartment for Rent,"833 S Berendo St, Los Angeles, CA 90005",2320.0,34.0571043,-118.294233,3949.633605560284,68,0,17,11,2,12,9,0,7,10
Apartment for Rent,"835 S Oxford Ave, Los Angeles, CA 90005",1875.0,34.056998,-118.3079179,4384.149553485736,65,0,13,9,0,15,4,0,12,12
Apartment for Rent,"836 S Park View St, Los Angeles, CA 90057",1750.0,34.0558349,-118.2812027,3735.094247930696,88,0,31,6,1,16,12,0,9,13
Apartment for Rent,"839 Fedora St, Los Angeles, CA 90005",3476.6666666666665,34.0569899,-118.2977161,4018.05326235042,59,0,14,9,2,9,9,0,7,9
Apartment for Rent,"843 Irolo St, Los Angeles, CA 90005",1850.0,34.0569084,-118.3009884,4106.950148119018,64,0,12,9,1,16,6,0,8,12
Apartment for Rent,"848 Irolo St, Los Angeles, CA 90005",3000.0,34.0568139,-118.3007901,4090.6412730212624,64,0,11,10,1,16,6,0,9,11
Apartment for Rent,"851 S Kenmore Ave, Los Angeles, CA 90005",1550.0,34.0568046,-118.2966254,3970.280479445586,66,0,16,9,2,11,12,0,7,9
Apartment for Rent,"858 S Gramercy Pl, Los Angeles, CA 90005",3500.0,34.0567677,-118.3131113,4611.462631031399,52,2,9,8,0,12,2,0,8,11
Apartment for Rent,"887 E 40th Pl, Los Angeles, CA 90011",3200.0,34.0101617,-118.2600848,2677.2315612814427,50,0,6,2,0,11,6,0,17,8
Apartment for Rent,"888 S Olive St, Los Angeles, CA 90014",7283.684210526316,34.0439006,-118.2579187,3462.5658789124745,307,1,48,8,0,52,25,1,102,70
Apartment for Rent,"889 Francisco St, Los Angeles, CA 90017",4500.0,34.0483407,-118.2640555,3475.71406865071,215,1,37,9,1,34,17,1,72,43
Apartment for Rent,"900 S Vermont Ave, Los Angeles, CA 90006",3012.0,34.055819,-118.291523,3762.856839591836,63,0,14,11,2,12,10,0,4,10
Apartment for Rent,"910 W 23rd St, Los Angeles, CA 90007",3575.0,34.0335178,-118.2804264,1309.1191739723529,40,0,6,3,0,10,3,0,14,4
Apartment for Rent,"914 W 41st St, Los Angeles, CA 90037",1895.0,34.0090496,-118.2903174,1560.4397157190344,44,0,10,4,0,4,4,0,13,9
Apartment for Rent,"918 S Harvard Blvd, Los Angeles, CA 90006",2900.0,34.055277,-118.3040544,4051.522934865328,61,0,7,16,0,15,3,0,8,12
Apartment for Rent,"924 S Serrano Ave, Los Angeles, CA 90006",3500.0,34.0550751,-118.3064681,4132.497125140012,66,0,13,11,0,14,4,0,11,13
Apartment for Rent,"958 Magnolia Ave, Los Angeles, CA 90006",2195.0,34.0534964,-118.2864658,3460.051389322873,77,0,19,8,2,19,8,0,8,13
Apartment for Rent,"964 S Ardmore Ave, Los Angeles, CA 90006",1900.0,34.0537555,-118.3019745,3817.567529107384,58,0,6,20,0,14,2,0,7,9
Ardmore,"860 S Ardmore Ave, Los Angeles, CA 90005",2272.0,34.0566165,-118.3018783,4106.801391338752,60,0,10,11,1,14,4,0,8,12
Atelier,"801 S Olive St, Los Angeles, CA 90014",7214.0,34.0450878,-118.2571353,3606.2095283667823,285,1,46,9,0,46,23,1,95,64
Atlas House,"2500 Wilshire Blvd, Los Angeles, CA 90057",3233.0,34.060097,-118.280718,4211.115758076972,77,0,29,4,1,11,10,1,13,8
Avalon,"1248 W Adams Blvd, Los Angeles, CA 90007",4550.0,34.0326838,-118.2877518,1169.3274249493188,60,0,4,6,0,16,3,0,25,6
Avana on Wilshire,"635 S Hobart Blvd, Los Angeles, CA 90005",3034.0,34.0627757,-118.3054486,4865.334328106611,70,0,20,4,0,12,7,0,11,16
Avant,"1360-1500 S Figueroa St, Los Angeles, CA 90015",2457.0,34.038317,-118.269518,2279.110696102184,132,1,19,3,0,41,6,1,21,40
Aven,"1120 S Grand Ave, Los Angeles, CA 90015",13575.0,34.0408575,-118.262356,2933.4167463856697,234,1,28,3,0,58,16,1,70,57
Axis,"1200 S Broadway, Los Angeles, CA 90015",4684.0,34.0376187,-118.2600591,2861.5696121800515,161,1,18,6,0,48,9,1,27,51
B & B Apartments,"750 S Carondelet St, Los Angeles, CA 90057",2450.0,34.0575129,-118.2814755,3918.6334595185135,91,0,31,5,1,15,13,1,12,13
Be DTLA,"1120 W 6th St, Los Angeles, CA 90017",3446.0,34.0533255,-118.26299,3996.95354613944,110,1,27,9,1,16,14,1,24,17
Beaudry,"960 W 7th St, Los Angeles, CA 90017",6302.0,34.0495656,-118.2606996,3765.601603589543,199,0,33,9,1,32,18,1,64,41
Berendo Terrace,"689 S Berendo St, Los Angeles, CA 90005",2796.0,34.0602532,-118.2942376,4292.463765005402,75,0,20,11,2,10,12,0,8,12
Berendo Villas,"1025 S Berendo St, Los Angeles, CA 90006",2445.0,34.0521622,-118.293803,3405.181388345195,56,0,8,20,0,8,9,0,5,6
Berkshire K2LA,"685 S New Hampshire Ave, Los Angeles, CA 90005",3236.0,34.060144,-118.292989,4259.4234932731615,81,0,22,11,2,11,11,1,11,12
Bixel at Fifth,"1311 W 5th St, Los Angeles, CA 90017",2400.0,34.055101,-118.2616718,4228.710321812388,81,0,24,7,0,16,9,2,10,13
Blackstone Apartments (1 month free rent!)*,"901 S Broadway, Los Angeles, CA 90015",3100.0,34.042281,-118.25623,3458.983153556808,282,1,40,9,0,50,21,0,92,69
Bonnie Brae Apartments,"930 S Bonnie Brae St, Los Angeles, CA 90006",1670.0,34.0517828,-118.2768182,3355.155883334552,84,1,23,5,1,15,12,0,16,11
Broadway Lofts,"430 S Broadway, Los Angeles, CA 90013",2670.0,34.0485204,-118.2497535,4363.969160510652,217,1,59,10,0,24,25,1,55,42
Broadway Palace,"1026 S Broadway, Los Angeles, CA 90015",4198.0,34.040496,-118.2576144,3234.816134705566,199,1,24,3,0,53,11,1,45,61
Casa Loma LA Apartments,"208-210 W 14th St, Los Angeles, CA 90015",1275.0,34.0355346,-118.2624692,2546.0532949563226,154,2,19,8,0,46,11,1,20,47
Catalina Apartments,"500 S Catalina St, Los Angeles, CA 90020",2575.0,34.065285,-118.2953,4860.320468866677,81,0,18,13,2,11,13,0,12,12
Circa LA,"1200 S Figueroa St, Los Angeles, CA 90015",14659.0,34.0416589,-118.2666982,2731.5698616991986,187,2,26,3,0,43,11,1,56,45
City Lights on Fig,"1300 S Figueroa St, Los Angeles, CA 90015",3097.0,34.040505,-118.267999,2556.612952232804,142,2,20,5,0,42,8,1,21,43
City Lofts,"626 S Spring St, Los Angeles, CA 90014",1975.0,34.0453628,-118.2513238,4025.750676002024,270,1,74,13,0,37,27,2,70,46
City Park Apartments,"1246 W 30th St, Los Angeles, CA 90007",1890.0,34.0271584,-118.2903297,715.7100419498962,81,0,6,5,0,20,1,0,41,8
City View Apartments,"1207 Miramar St, Los Angeles, CA 90026",2345.0,34.0576005,-118.2574827,4668.595534781249,46,0,14,2,0,13,2,2,4,9
Commodore Regency Apartments,"685 S Lucas Ave, Los Angeles, CA 90017",1450.0,34.051932,-118.265588,3743.784412485146,168,1,30,12,1,21,17,1,60,25
Condo for Rent,"1100 Wilshire Blvd, Los Angeles, CA 90017",3250.0,34.0522355,-118.2636642,3861.028112236764,171,1,28,9,1,22,17,1,63,29
Condo for Rent,"1130 S Flower St, Los Angeles, CA 90015",4500.0,34.0419346,-118.2645735,2880.2870232859377,222,1,29,3,0,52,14,1,67,55
Condo for Rent,"1149 W 25th St, Los Angeles, CA 90007",6600.0,34.0336655,-118.28521,1252.7074612726844,60,0,7,6,0,16,4,0,22,5
Condo for Rent,"1218 Magnolia Ave, Los Angeles, CA 90006",3995.0,34.0487012,-118.2864191,2927.0848342721006,62,0,17,8,0,10,9,0,6,12
Condo for Rent,"1234 Wilshire Blvd, Los Angeles, CA 90017",2950.0,34.05357,-118.26636,3872.275076451697,148,1,31,11,1,19,17,1,51,16
Condo for Rent,"1476 W 35th St, Los Angeles, CA 90018",1093.0,34.0245328,-118.3025473,1625.3261357502747,38,0,5,8,0,10,3,0,6,6
Condo for Rent,"1532 4th Ave, Los Angeles, CA 90019",2300.0,34.0447841,-118.3211837,4153.442045904515,43,2,5,7,0,10,6,0,6,7
Condo for Rent,"2121 James M Wood Blvd, Los Angeles, CA 90006",1937.5,34.0537955,-118.2794935,3529.0367653533885,90,0,27,6,1,18,12,0,15,11
Condo for Rent,"249 N Bonnie Brae St, Los Angeles, CA 90026",3515.0,34.0675626,-118.2668126,5296.977880073909,48,1,7,7,0,11,2,1,9,10
Condo for Rent,"257 S Spring St, Los Angeles, CA 90012",12000.0,34.0509469,-118.2464361,4771.656346514515,165,1,53,7,0,18,19,1,38,28
Condo for Rent,"2939 Leeward Ave, Los Angeles, CA 90005",3630.0,34.0587997,-118.2877652,4054.905015119365,71,0,23,8,3,11,10,1,7,8
Condo for Rent,"3511 W 6th St, Los Angeles, CA 90020",5795.0,34.0636618,-118.2982779,4746.0441374366455,74,0,18,11,1,12,8,0,10,14
Condo for Rent,"400 S Broadway, Los Angeles, CA 90013",3673.75,34.0491544,-118.2489804,4464.05153292986,192,1,58,8,0,23,23,1,43,35
Condo for Rent,"420 San Pedro St, Los Angeles, CA 90013",2600.0,34.0451303,-118.2431733,4616.773461921191,208,1,68,13,1,22,22,2,39,40
Condo for Rent,"435 S La Fayette Park Pl, Los Angeles, CA 90057",3500.0,34.0652757,-118.2818737,4776.818622075018,55,1,15,5,0,6,5,1,9,13
Condo for Rent,"460 S Spring St, Los Angeles, CA 90013",6800.0,34.0474227,-118.2489472,4340.477179892094,217,1,67,9,0,28,26,2,48,36
Condo for Rent,"625 S Berendo St, Los Angeles, CA 90005",3000.0,34.062689,-118.2942312,4558.249675344639,75,0,21,12,2,8,11,0,10,11
Condo for Rent,"630 W 6th St, Los Angeles, CA 90017",2195.0,34.0489199,-118.2557028,4004.207231967032,254,0,48,8,0,39,22,2,90,45
Condo for Rent,"746 S Los Angeles St, Los Angeles, CA 90014",2200.0,34.0422685,-118.2515526,3799.67669377531,239,2,69,11,0,34,26,2,57,38
Condo for Rent,"800 W 1st St, Los Angeles, CA 90012",2410.0,34.0569161,-118.2508125,4971.075627553502,49,0,10,2,0,10,3,0,10,14
Condo for Rent,"801 S Grand Ave, Los Angeles, CA 90017",4450.0,34.0457316,-118.2583612,3577.9307310680115,268,1,43,8,0,44,22,1,94,55
Condo for Rent,"849 S Broadway, Los Angeles, CA 90014",2995.0,34.0431143,-118.2554495,3573.5984591990746,302,1,52,10,0,50,23,1,96,69
Condo for Rent,"877 Francisco St, Los Angeles, CA 90017",3275.0,34.048683,-118.262866,3569.132985688852,207,1,35,10,1,33,15,1,70,41
Condo for Rent,"889 Francisco St, Los Angeles, CA 90017",4600.0,34.0483407,-118.2640555,3475.71406865071,215,1,37,9,1,34,17,1,72,43
Condo for Rent,"900 W Olympic Blvd, Los Angeles, CA 90015",7950.0,34.0452979,-118.266482,3070.1960121662246,183,0,30,3,1,37,12,0,60,40
Condo for Rent,"901 S Flower St, Los Angeles, CA 90015",2800.0,34.0454002,-118.2622305,3313.8913937558395,251,1,36,6,1,46,20,0,81,60
Condo for Rent,"926 S Manhattan Pl, Los Angeles, CA 90019",3800.0,34.0549289,-118.3100326,4284.9621424251545,63,1,12,11,0,15,4,0,9,11
Crosby,"3350 Wilshire Blvd, Los Angeles, CA 90010",4197.0,34.0615125,-118.295746,4458.35886640723,66,0,19,10,2,11,7,0,9,8
Crystal House Apartments,"1630 W 3rd St, Los Angeles, CA 90017",1700.0,34.0600465,-118.2661568,4535.4101851764935,84,0,23,12,0,14,10,3,13,9
DON - St. Germaine,"900 S Serrano Ave, Los Angeles, CA 90006",1895.0,34.055738,-118.306471,4197.57284709504,67,0,13,10,0,15,5,0,11,13
Decollage Apartments,"3057-3067 W Pico Blvd, Los Angeles, CA 90006",3272.0,34.047269,-118.308015,3479.303516919449,62,0,17,9,0,10,9,0,7,10
E on Grand,"1249 S Grand Ave, Los Angeles, CA 90015",2760.0,34.0391374,-118.2644066,2664.6028757544605,171,2,21,6,0,51,9,1,29,52
E on Hoover,"1157 S Hoover St, Los Angeles, CA 90006",2155.0,34.050013,-118.284269,3071.380180700385,75,0,17,11,1,13,10,0,9,14
Eighth & Grand,"770 S Grand Ave, Los Angeles, CA 90014",3943.0,34.0461959,-118.2574803,3671.334466714302,264,1,44,10,0,40,23,1,88,57
Emerald,"215 W 14th St, Los Angeles, CA 90015",3552.0,34.0362741,-118.2635777,2512.7003749004843,165,2,21,7,0,50,11,1,25,48
Fedora Woods,"861 Fedora, LOS ANGELES, CA 90005",1600.0,34.0566391,-118.2977149,3980.69863348,55,0,12,9,1,8,9,0,7,9
Fedora x Trilby,"826-840 S Mariposa Ave, Los Angeles, CA 90005",3042.0,34.056021,-118.29863,3940.874021075914,70,0,18,11,2,11,8,0,7,13
G12,"1200 S Grand Ave, Los Angeles, CA 90015",5375.0,34.0394751,-118.263711,2736.759620601686,225,1,26,6,0,54,12,1,69,56
Gamer Apartment | Live Work Loft in Los An...,"443 S San Pedro St, Los Angeles, CA 90013",2497.0,34.00817,-118.2696328,2129.782655454241,219,1,71,12,1,26,24,2,43,39
Garment Lofts,"217 E 8th St, Los Angeles, CA 90014",2035.0,34.0416477,-118.2515713,3758.552238930706,233,2,67,11,0,34,25,2,53,39
Gas Company Lofts,"810 S Flower St, Los Angeles, CA 90017",2614.0,34.0467213,-118.2601097,3551.990552183672,238,0,35,7,0,39,21,0,86,50
Gillman Studio Apartments,"417 S Rampart Blvd, Los Angeles, CA 90057",1350.0,34.0646889,-118.2799909,4725.814827823894,54,1,14,5,0,8,6,1,10,9
Gramercy Place,"1500 S Gramercy Pl, Los Angeles, CA 90019",2495.0,34.045245,-118.31293,3609.628665953225,51,3,4,8,0,9,5,0,12,10
Grand Central Market Apartments,"307-317 S Broadway, Los Angeles, CA 90013",2612.0,34.051217,-118.2477871,4699.863295408982,212,1,56,10,0,25,25,1,54,40
HWH Luxury Living,"354 S Spring St, Los Angeles, CA 90013",5512.0,34.0488246,-118.2479609,4510.555481792282,194,1,61,8,0,21,23,2,46,32
Haddon Hall,"3176-3188 W 8th St, Los Angeles, CA 90005",1325.0,34.057646,-118.297194,4074.5226848407606,63,0,13,6,0,15,4,0,10,15
Hallasan,"696 S New Hampshire Ave, Los Angeles, CA 90005",6152.0,34.0600185,-118.2927895,4242.565521488303,77,0,24,10,2,10,10,1,10,10
Hartford Apartments,"744 Hartford Ave, Los Angeles, CA 90017",2872.0,34.0510223,-118.2679084,3555.097920108277,149,1,28,10,1,25,17,1,48,18
Hellman Building,"411 S Main St, Los Angeles, CA 90013",2100.0,34.0479479,-118.2476138,4472.336990611738,213,1,67,9,0,27,26,2,48,33
House for Rent,"1045 W 52nd St, Los Angeles, CA 90037",4000.0,33.9951513,-118.2925532,3106.826027293196,64,1,12,3,1,14,10,0,19,4
House for Rent,"1113 4th Ave, Los Angeles, CA 90019",4000.0,34.0508956,-118.3197378,4497.4166171039815,45,4,5,10,0,8,7,0,8,3
House for Rent,"1179 W 28th St, Los Angeles, CA 90007",9450.0,34.0296065,-118.2863198,809.172616125913,72,0,7,5,0,17,1,0,37,5
House for Rent,"1180 W 37th Plz, Los Angeles, CA 90007",9600.0,34.019884,-118.293487,822.0330120576764,49,0,5,6,0,13,2,0,15,8
House for Rent,"1213 W 24th St, Los Angeles, CA 90007",6439.0,34.0344696,-118.2869113,1352.4185251464778,53,0,7,6,0,16,4,0,15,5
House for Rent,"1222 W 35th St, Los Angeles, CA 90007",9595.0,34.0240625,-118.2953434,961.9569056469908,56,0,5,6,0,13,2,0,19,11
House for Rent,"1228 Fedora St, Los Angeles, CA 90006",5795.0,34.0484957,-118.2977799,3128.1127688151723,51,0,5,22,0,7,6,0,6,5
House for Rent,"1231 W 36th Pl, Los Angeles, CA 90007",4600.0,34.0220503,-118.29544,953.734095845846,51,0,5,6,0,13,2,0,16,9
House for Rent,"1237 W 25th St, Los Angeles, CA 90007",7200.0,34.0336619,-118.2874404,1270.7035468679017,57,0,6,6,0,18,4,0,17,6
House for Rent,"1237 W 37th Plz, Los Angeles, CA 90007",9597.0,34.020038,-118.295421,986.795292715898,48,0,5,5,0,16,2,0,12,8
House for Rent,"1301 W 22nd St, Los Angeles, CA 90007",3036.0,34.036083,-118.286659,1528.2480245303286,50,0,8,5,0,14,4,0,14,5
House for Rent,"1316 W 35th St, Los Angeles, CA 90007",6300.0,34.0245044,-118.297856,1198.6465505858198,41,0,5,7,0,9,1,0,9,10
House for Rent,"1320 12th Ave, Los Angeles, CA 90019",5200.0,34.0472501,-118.3246108,4570.637523443932,31,2,4,4,0,8,6,0,2,5
House for Rent,"1325 W Adams Blvd, Los Angeles, CA 90007",4500.0,34.0328465,-118.2896914,1236.2603040637632,57,0,6,6,0,17,4,0,18,6
House for Rent,"1329 W 37th Pl, Los Angeles, CA 90007",9713.0,34.0200514,-118.2984807,1260.5373391955588,43,0,5,9,0,11,2,1,7,8
House for Rent,"1334 W 22nd St, Los Angeles, CA 90007",7540.0,34.0359186,-118.2875265,1519.740329042534,51,0,7,5,0,15,4,0,15,5
House for Rent,"1375 W 37th Dr, Los Angeles, CA 90007",4796.0,34.0191328,-118.2995424,1379.732431448751,40,0,5,9,0,11,3,1,4,7
House for Rent,"1385 W 22nd St, Los Angeles, CA 90007",3700.0,34.0360814,-118.2886498,1556.075588922276,49,0,7,3,0,16,4,0,14,5
House for Rent,"1430 E 20th St, Los Angeles, CA 90011",2500.0,34.0212125,-118.2481964,3403.6386527355025,42,0,7,1,0,8,5,0,10,11
House for Rent,"1451 W 36th Plz, Los Angeles, CA 90018",1339.0,34.021952,-118.301473,1509.7691830658512,42,0,6,7,0,13,5,1,4,6
House for Rent,"1511 4th Ave, Los Angeles, CA 90019",2800.0,34.0451502,-118.3213833,4192.611198866223,41,2,6,7,0,9,6,0,6,5
House for Rent,"1513 4th Ave, Los Angeles, CA 90019",2900.0,34.0451168,-118.3213831,4190.357194088035,41,2,6,7,0,9,6,0,6,5
House for Rent,"1540 W 58th St, Los Angeles, CA 90062",2700.0,33.9896247,-118.3032853,4011.475959380167,55,1,15,9,0,11,9,0,6,4
House for Rent,"1651 W 37th Pl, Los Angeles, CA 90018",1073.0,34.020068,-118.3075572,2085.874886393434,40,0,11,8,0,9,5,1,4,2
House for Rent,"1826 Westmoreland Blvd, Los Angeles, CA 90006",3495.0,34.0408881,-118.3064394,2844.838902977414,32,0,4,4,0,6,2,0,9,7
House for Rent,"1847 W 43rd Pl, Los Angeles, CA 90062",5000.0,34.0046872,-118.3125063,3203.139220664876,34,0,8,0,0,10,3,1,4,8
House for Rent,"1859 W Slauson Ave, Los Angeles, CA 90047",950.0,33.9892088,-118.3108322,4387.184151207623,54,0,21,5,0,9,9,1,5,4
